"VRSTA IZOBRAŽEVANJA","LETNIK","STAROST","2009/10 Spol - SKUPAJ","2009/10 Moški","2009/10 Ženske","2010/11 Spol - SKUPAJ","2010/11 Moški","2010/11 Ženske","2011/12 Spol - SKUPAJ","2011/12 Moški","2011/12 Ženske","2012/13 Spol - SKUPAJ","2012/13 Moški","2012/13 Ženske","2013/14 Spol - SKUPAJ","2013/14 Moški","2013/14 Ženske","2014/15 Spol - SKUPAJ","2014/15 Moški","2014/15 Ženske","2015/16 Spol - SKUPAJ","2015/16 Moški","2015/16 Ženske","2016/17 Spol - SKUPAJ","2016/17 Moški","2016/17 Ženske","2017/18 Spol - SKUPAJ","2017/18 Moški","2017/18 Ženske","2018/19 Spol - SKUPAJ","2018/19 Moški","2018/19 Ženske","2019/20 Spol - SKUPAJ","2019/20 Moški","2019/20 Ženske","2020/21 Spol - SKUPAJ","2020/21 Moški","2020/21 Ženske"
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","Starost - Skupaj",85030,43730,41300,82267,42330,39937,79901,41164,38737,78208,40321,37887,76714,39717,36997,75325,38964,36361,74759,38651,36108,74021,38239,35782,73776,38030,35746,73110,37682,35428,72738,37436,35302,73854,38041,35813
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","13 let ali manj",11,1,10,19,14,5,4,2,2,15,9,6,4,4,-,2,1,1,1,-,1,2,2,-,-,-,-,1,1,-,2,-,2,2,-,2
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","14 let",1175,473,702,902,397,505,456,181,275,148,58,90,89,41,48,122,53,69,132,53,79,113,43,70,81,42,39,113,49,64,103,36,67,118,54,64
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","15 let",18348,9053,9295,18022,9162,8860,17938,9274,8664,17220,8590,8630,16898,8618,8280,16320,8304,8016,17012,8631,8381,16169,8164,8005,16374,8254,8120,15954,8040,7914,16337,8144,8193,16619,8378,8241
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","16 let",19330,10009,9321,19129,9708,9421,18719,9453,9266,18749,9712,9037,18102,9277,8825,17767,9220,8547,17357,8951,8406,18096,9334,8762,17615,9116,8499,17667,9077,8590,17331,8929,8402,18073,9165,8908
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","17 let",19669,10158,9511,19049,9727,9322,18855,9556,9299,18568,9535,9033,18530,9552,8978,18045,9182,8863,17742,9177,8565,17323,8916,8407,18097,9314,8783,17540,9072,8468,17503,8975,8528,17281,8883,8398
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","18 let",18163,9315,8848,17295,8854,8441,17229,8755,8474,17097,8655,8442,16658,8456,8202,16829,8586,8243,16601,8374,8227,16435,8349,8086,16057,8081,7976,16555,8335,8220,16083,8160,7923,16329,8235,8094
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","19 let",5217,3020,2197,4691,2829,1862,4249,2515,1734,3995,2440,1555,4223,2577,1646,4140,2497,1643,3922,2368,1554,3888,2317,1571,3781,2256,1525,3625,2231,1394,3876,2364,1512,3973,2460,1513
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","20 let",1646,948,698,1702,916,786,1365,827,538,1248,724,524,1141,675,466,1041,623,418,1101,648,453,1110,644,466,974,568,406,971,548,423,884,537,347,971,604,367
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","21 let in veè",1471,753,718,1458,723,735,1086,601,485,1168,598,570,1069,517,552,1059,498,561,891,449,442,885,470,415,797,399,398,684,329,355,619,291,328,488,262,226
"Vrsta izobraževanja - SKUPAJ","1. letnik","Starost - Skupaj",21731,11320,10411,21266,11218,10048,20919,11051,9868,20450,10773,9677,20264,10766,9498,19794,10530,9264,20489,10803,9686,19813,10481,9332,20180,10675,9505,19735,10362,9373,20098,10495,9603,20144,10600,9544
"Vrsta izobraževanja - SKUPAJ","1. letnik","13 let ali manj",11,1,10,8,5,3,4,2,2,4,3,1,3,3,-,1,-,1,1,-,1,2,2,-,-,-,-,1,1,-,2,-,2,2,-,2
"Vrsta izobraževanja - SKUPAJ","1. letnik","14 let",1147,465,682,895,396,499,448,173,275,145,58,87,88,40,48,116,51,65,130,52,78,112,43,69,79,40,39,113,49,64,102,35,67,116,54,62
"Vrsta izobraževanja - SKUPAJ","1. letnik","15 let",16969,8501,8468,16969,8698,8271,16819,8658,8161,16686,8421,8265,16754,8563,8191,16225,8262,7963,16896,8583,8313,16054,8118,7936,16278,8218,8060,15887,8006,7881,16233,8101,8132,16523,8343,8180
"Vrsta izobraževanja - SKUPAJ","1. letnik","16 let",2105,1320,785,2135,1284,851,2337,1363,974,2248,1366,882,2135,1315,820,2143,1362,781,2164,1326,838,2336,1465,871,2443,1537,906,2454,1489,965,2596,1644,952,2377,1479,898
"Vrsta izobraževanja - SKUPAJ","1. letnik","17 let",790,563,227,611,400,211,693,458,235,757,518,239,711,472,239,690,469,221,735,489,246,649,433,216,775,511,264,744,492,252,698,442,256,671,467,204
"Vrsta izobraževanja - SKUPAJ","1. letnik","18 let",394,266,128,334,221,113,366,226,140,350,246,104,314,205,109,329,208,121,309,197,112,346,222,124,312,199,113,340,224,116,284,176,108,272,168,104
"Vrsta izobraževanja - SKUPAJ","1. letnik","19 let",179,121,58,159,107,52,143,98,45,129,75,54,126,82,44,144,89,55,122,74,48,143,93,50,143,82,61,94,58,36,117,68,49,104,53,51
"Vrsta izobraževanja - SKUPAJ","1. letnik","20 let",71,42,29,91,59,32,58,38,20,52,38,14,50,34,16,49,32,17,51,36,15,71,40,31,56,36,20,44,23,21,32,18,14,51,30,21
"Vrsta izobraževanja - SKUPAJ","1. letnik","21 let in veè",65,41,24,64,48,16,51,35,16,79,48,31,83,52,31,97,57,40,81,46,35,100,65,35,94,52,42,58,20,38,34,11,23,28,6,22
"Vrsta izobraževanja - SKUPAJ","2. letnik","Starost - Skupaj",20460,10601,9859,20220,10395,9825,19668,10224,9444,19373,10099,9274,19025,9829,9196,18883,9814,9069,18496,9636,8860,18926,9811,9115,18401,9559,8842,18540,9634,8906,18022,9250,8772,18882,9644,9238
"Vrsta izobraževanja - SKUPAJ","2. letnik","13 let ali manj",-,-,-,3,2,1,-,-,-,2,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","2. letnik","14 let",21,4,17,7,1,6,8,8,-,1,-,1,1,1,-,6,2,4,1,-,1,1,-,1,2,2,-,-,-,-,1,1,-,2,-,2
"Vrsta izobraževanja - SKUPAJ","2. letnik","15 let",1362,538,824,1029,444,585,1112,614,498,531,166,365,142,54,88,93,40,53,111,46,65,114,46,68,95,36,59,66,33,33,103,42,61,95,34,61
"Vrsta izobraževanja - SKUPAJ","2. letnik","16 let",15932,8154,7778,15723,7837,7886,15323,7645,7678,15640,7983,7657,15528,7793,7735,15488,7806,7682,15104,7585,7519,15662,7831,7831,15060,7536,7524,15122,7557,7565,14666,7250,7416,15593,7643,7950
"Vrsta izobraževanja - SKUPAJ","2. letnik","17 let",2244,1322,922,2349,1372,977,2265,1334,931,2287,1358,929,2333,1366,967,2241,1328,913,2215,1357,858,2204,1349,855,2334,1430,904,2446,1516,930,2369,1419,950,2384,1475,909
"Vrsta izobraževanja - SKUPAJ","2. letnik","18 let",534,356,178,739,515,224,598,397,201,586,377,209,700,436,264,684,424,260,656,407,249,582,376,206,556,347,209,578,357,221,579,367,212,562,347,215
"Vrsta izobraževanja - SKUPAJ","2. letnik","19 let",222,146,76,242,150,92,220,136,84,192,123,69,202,116,86,234,133,101,258,148,110,212,123,89,204,123,81,184,105,79,214,127,87,168,101,67
"Vrsta izobraževanja - SKUPAJ","2. letnik","20 let",95,51,44,81,47,34,86,53,33,79,51,28,66,30,36,64,37,27,90,57,33,76,41,35,76,44,32,72,34,38,42,25,17,52,30,22
"Vrsta izobraževanja - SKUPAJ","2. letnik","21 let in veè",50,30,20,47,27,20,56,37,19,55,40,15,53,33,20,72,43,29,61,36,25,75,45,30,74,41,33,72,32,40,48,19,29,26,14,12
"Vrsta izobraževanja - SKUPAJ","3. letnik","Starost - Skupaj",20038,10415,9623,19276,9848,9428,18953,9566,9387,18451,9449,9002,18120,9310,8810,17895,9086,8809,17658,9020,8638,17362,8821,8541,17738,8999,8739,17120,8745,8375,17395,8927,8468,17108,8637,8471
"Vrsta izobraževanja - SKUPAJ","3. letnik","13 let ali manj",-,-,-,6,5,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","3. letnik","14 let",4,3,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","3. letnik","15 let",17,14,3,24,20,4,7,2,5,3,3,-,1,1,-,2,2,-,5,2,3,1,-,1,1,-,1,1,1,-,1,1,-,1,1,-
"Vrsta izobraževanja - SKUPAJ","3. letnik","16 let",1289,533,756,1267,585,682,1059,445,614,853,362,491,438,168,270,133,49,84,89,40,49,96,37,59,111,43,68,90,31,59,68,34,34,102,42,60
"Vrsta izobraževanja - SKUPAJ","3. letnik","17 let",15341,7740,7601,14755,7387,7368,14826,7329,7497,14548,7287,7261,14728,7394,7334,14716,7248,7468,14662,7278,7384,14390,7093,7297,14899,7339,7560,14242,7022,7220,14351,7086,7265,14163,6910,7253
"Vrsta izobraževanja - SKUPAJ","3. letnik","18 let",2505,1540,965,2401,1336,1065,2274,1327,947,2242,1323,919,2145,1246,899,2230,1299,931,2059,1212,847,2026,1213,813,2018,1202,816,2087,1270,817,2261,1387,874,2130,1258,872
"Vrsta izobraževanja - SKUPAJ","3. letnik","19 let",549,369,180,498,321,177,484,288,196,493,301,192,535,344,191,546,342,204,543,329,214,522,304,218,449,275,174,469,297,172,476,293,183,471,292,179
"Vrsta izobraževanja - SKUPAJ","3. letnik","20 let",229,147,82,206,129,77,203,121,82,193,108,85,180,107,73,153,94,59,182,98,84,195,102,93,152,88,64,147,80,67,137,81,56,165,94,71
"Vrsta izobraževanja - SKUPAJ","3. letnik","21 let in veè",104,69,35,119,65,54,100,54,46,117,64,53,93,50,43,115,52,63,117,60,57,132,72,60,108,52,56,84,44,40,101,45,56,76,40,36
"Vrsta izobraževanja - SKUPAJ","4. letnik","Starost - Skupaj",18824,9381,9443,17909,8972,8937,17345,8604,8741,17181,8466,8715,16695,8335,8360,16342,8190,8152,16020,7964,8056,15924,7934,7990,15456,7621,7835,15724,7693,8031,15251,7521,7730,15755,7875,7880
"Vrsta izobraževanja - SKUPAJ","4. letnik","13 let ali manj",-,-,-,2,2,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","4. letnik","14 let",3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","4. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","4. letnik","16 let",4,2,2,4,2,2,-,-,-,8,1,7,1,1,-,3,3,-,-,-,-,2,1,1,1,-,1,1,-,1,1,1,-,1,1,-
"Vrsta izobraževanja - SKUPAJ","4. letnik","17 let",1290,533,757,1318,565,753,1066,434,632,974,372,602,755,319,436,398,137,261,130,53,77,80,41,39,89,34,55,108,42,66,85,28,57,63,31,32
"Vrsta izobraževanja - SKUPAJ","4. letnik","18 let",14549,7078,7471,13639,6696,6943,13839,6739,7100,13807,6663,7144,13377,6508,6869,13507,6633,6874,13542,6548,6994,13466,6530,6936,13152,6332,6820,13535,6480,7055,12935,6223,6712,13332,6452,6880
"Vrsta izobraževanja - SKUPAJ","4. letnik","19 let",2243,1273,970,2076,1257,819,1836,1053,783,1772,1066,706,1972,1166,806,1884,1098,786,1809,1043,766,1814,1033,781,1709,984,725,1627,917,710,1786,1023,763,1882,1111,771
"Vrsta izobraževanja - SKUPAJ","4. letnik","20 let",471,320,151,624,292,332,397,253,144,410,242,168,389,239,150,373,221,152,365,225,140,386,233,153,326,184,142,316,177,139,320,179,141,344,206,138
"Vrsta izobraževanja - SKUPAJ","4. letnik","21 let in veè",264,174,90,246,158,88,207,125,82,208,121,87,201,102,99,177,98,79,174,95,79,176,96,80,179,87,92,137,77,60,124,67,57,133,74,59
"Vrsta izobraževanja - SKUPAJ","5. letnik","Starost - Skupaj",3977,2013,1964,3596,1897,1699,3016,1719,1297,2753,1534,1219,2610,1477,1133,2411,1344,1067,2096,1228,868,1996,1192,804,2001,1176,825,1991,1248,743,1972,1243,729,1965,1285,680
"Vrsta izobraževanja - SKUPAJ","5. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,6,3,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","5. letnik","14 let",-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","5. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","5. letnik","16 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","5. letnik","17 let",4,-,4,16,3,13,5,1,4,2,-,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vrsta izobraževanja - SKUPAJ","5. letnik","18 let",181,75,106,182,86,96,152,66,86,112,46,66,122,61,61,79,22,57,35,10,25,15,8,7,19,1,18,15,4,11,24,7,17,33,10,23
"Vrsta izobraževanja - SKUPAJ","5. letnik","19 let",2024,1111,913,1716,994,722,1566,940,626,1409,875,534,1388,869,519,1332,835,497,1190,774,416,1197,764,433,1276,792,484,1251,854,397,1283,853,430,1348,903,445
"Vrsta izobraževanja - SKUPAJ","5. letnik","20 let",780,388,392,700,389,311,621,362,259,514,285,229,456,265,191,402,239,163,413,232,181,382,228,154,364,216,148,392,234,158,353,234,119,359,244,115
"Vrsta izobraževanja - SKUPAJ","5. letnik","21 let in veè",988,439,549,982,425,557,672,350,322,709,325,384,639,280,359,598,248,350,458,212,246,402,192,210,342,167,175,333,156,177,312,149,163,225,128,97
"Nižje poklicno","Vsi letniki - SKUPAJ","Starost - Skupaj",1055,798,257,875,629,246,836,610,226,800,586,214,871,627,244,901,644,257,944,680,264,1000,694,306,1027,710,317,1047,745,302,1095,799,296,1109,804,305
"Nižje poklicno","Vsi letniki - SKUPAJ","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","Vsi letniki - SKUPAJ","14 let",14,10,4,13,9,4,5,3,2,2,2,-,4,3,1,-,-,-,2,2,-,1,1,-,1,-,1,1,1,-,1,-,1,4,3,1
"Nižje poklicno","Vsi letniki - SKUPAJ","15 let",211,172,39,224,152,72,234,182,52,198,154,44,245,174,71,193,145,48,242,174,68,231,160,71,242,168,74,263,209,54,279,206,73,255,182,73
"Nižje poklicno","Vsi letniki - SKUPAJ","16 let",331,240,91,304,228,76,293,197,96,321,222,99,319,236,83,366,251,115,304,217,87,391,272,119,364,246,118,387,259,128,412,315,97,432,318,114
"Nižje poklicno","Vsi letniki - SKUPAJ","17 let",288,220,68,218,154,64,178,128,50,180,132,48,163,108,55,203,148,55,220,153,67,205,140,65,265,182,83,239,166,73,233,159,74,276,210,66
"Nižje poklicno","Vsi letniki - SKUPAJ","18 let",131,93,38,83,61,22,78,66,12,58,42,16,97,74,23,80,53,27,103,79,24,103,72,31,83,61,22,102,75,27,107,74,33,89,63,26
"Nižje poklicno","Vsi letniki - SKUPAJ","19 let",52,40,12,23,17,6,28,15,13,28,23,5,25,18,7,44,35,9,42,31,11,36,26,10,43,31,12,30,20,10,42,36,6,36,19,17
"Nižje poklicno","Vsi letniki - SKUPAJ","20 let",21,16,5,7,5,2,9,9,-,9,8,1,13,10,3,8,7,1,20,15,5,14,9,5,12,9,3,11,6,5,6,5,1,9,6,3
"Nižje poklicno","Vsi letniki - SKUPAJ","21 let in veè",7,7,-,3,3,-,11,10,1,4,3,1,5,4,1,7,5,2,11,9,2,19,14,5,17,13,4,14,9,5,15,4,11,8,3,5
"Nižje poklicno","1. letnik","Starost - Skupaj",436,329,107,442,306,136,431,327,104,425,314,111,495,360,135,482,355,127,552,401,151,575,398,177,581,412,169,623,463,160,621,462,159,594,435,159
"Nižje poklicno","1. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","1. letnik","14 let",14,10,4,13,9,4,5,3,2,2,2,-,4,3,1,-,-,-,2,2,-,1,1,-,1,-,1,1,1,-,1,-,1,4,3,1
"Nižje poklicno","1. letnik","15 let",204,168,36,214,145,69,218,171,47,195,152,43,244,173,71,190,143,47,242,174,68,229,158,71,242,168,74,262,209,53,278,205,73,254,182,72
"Nižje poklicno","1. letnik","16 let",156,107,49,132,93,39,111,78,33,132,86,46,155,111,44,168,116,52,172,120,52,212,141,71,188,132,56,208,139,69,221,169,52,202,151,51
"Nižje poklicno","1. letnik","17 let",47,34,13,50,37,13,50,38,12,65,52,13,43,32,11,71,58,13,82,62,20,69,52,17,98,76,22,93,69,24,72,53,19,97,76,21
"Nižje poklicno","1. letnik","18 let",10,6,4,22,13,9,23,21,2,20,16,4,30,25,5,27,18,9,34,27,7,43,31,12,34,24,10,42,36,6,33,23,10,25,19,6
"Nižje poklicno","1. letnik","19 let",3,3,-,9,7,2,12,5,7,7,3,4,11,8,3,17,12,5,8,6,2,8,6,2,11,7,4,7,6,1,12,11,1,7,2,5
"Nižje poklicno","1. letnik","20 let",2,1,1,2,2,-,1,1,-,2,2,-,6,6,-,5,5,-,5,4,1,6,4,2,3,2,1,5,2,3,1,1,-,1,1,-
"Nižje poklicno","1. letnik","21 let in veè",-,-,-,-,-,-,11,10,1,2,1,1,2,2,-,4,3,1,7,6,1,7,5,2,4,3,1,5,1,4,3,-,3,4,1,3
"Nižje poklicno","2. letnik","Starost - Skupaj",328,244,84,378,273,105,377,261,116,364,269,95,363,258,105,407,284,123,382,274,108,411,291,120,434,289,145,408,275,133,455,325,130,496,355,141
"Nižje poklicno","2. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","2. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","2. letnik","15 let",6,3,3,10,7,3,16,11,5,3,2,1,1,1,-,3,2,1,-,-,-,2,2,-,-,-,-,1,-,1,1,1,-,1,-,1
"Nižje poklicno","2. letnik","16 let",171,130,41,172,135,37,182,119,63,187,136,51,164,125,39,198,135,63,132,97,35,179,131,48,176,114,62,179,120,59,191,146,45,230,167,63
"Nižje poklicno","2. letnik","17 let",110,81,29,135,87,48,117,79,38,113,80,33,114,72,42,131,89,42,135,89,46,135,88,47,167,106,61,144,96,48,159,104,55,173,128,45
"Nižje poklicno","2. letnik","18 let",26,17,9,46,34,12,44,36,8,34,25,9,66,48,18,46,33,13,66,51,15,55,40,15,44,33,11,52,37,15,64,46,18,58,39,19
"Nižje poklicno","2. letnik","19 let",8,6,2,9,6,3,10,8,2,19,18,1,11,8,3,26,22,4,33,24,9,25,18,7,29,22,7,22,14,8,27,23,4,26,15,11
"Nižje poklicno","2. letnik","20 let",3,3,-,4,2,2,8,8,-,6,6,-,4,2,2,1,1,-,12,10,2,6,4,2,7,5,2,5,4,1,5,4,1,6,5,1
"Nižje poklicno","2. letnik","21 let in veè",4,4,-,2,2,-,-,-,-,2,2,-,3,2,1,2,2,-,4,3,1,9,8,1,11,9,2,5,4,1,8,1,7,2,1,1
"Nižje poklicno","3. letnik","Starost - Skupaj",291,225,66,55,50,5,28,22,6,11,3,8,13,9,4,12,5,7,10,5,5,14,5,9,12,9,3,16,7,9,19,12,7,19,14,5
"Nižje poklicno","3. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","3. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","3. letnik","15 let",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","3. letnik","16 let",4,3,1,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","3. letnik","17 let",131,105,26,33,30,3,11,11,-,2,-,2,6,4,2,1,1,-,3,2,1,1,-,1,-,-,-,2,1,1,2,2,-,6,6,-
"Nižje poklicno","3. letnik","18 let",95,70,25,15,14,1,11,9,2,4,1,3,1,1,-,7,2,5,3,1,2,5,1,4,5,4,1,8,2,6,10,5,5,6,5,1
"Nižje poklicno","3. letnik","19 let",41,31,10,5,4,1,6,2,4,2,2,-,3,2,1,1,1,-,1,1,-,3,2,1,3,2,1,1,-,1,3,2,1,3,2,1
"Nižje poklicno","3. letnik","20 let",16,12,4,1,1,-,-,-,-,1,-,1,3,2,1,2,1,1,3,1,2,2,1,1,2,2,-,1,-,1,-,-,-,2,-,2
"Nižje poklicno","3. letnik","21 let in veè",3,3,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,3,1,2,2,1,1,4,4,-,4,3,1,2,1,1
"Nižje poklicno","4. letnik","Starost - Skupaj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","4. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","4. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","4. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","4. letnik","16 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","4. letnik","17 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","4. letnik","18 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","4. letnik","19 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","4. letnik","20 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","4. letnik","21 let in veè",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nižje poklicno","5. letnik","Starost - Skupaj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
